"CCAA","value","date","poblacion","per_cienmil"
"Andalucía",0,2020-03-13,8414240,0
"Andalucía",0,2020-03-03,8414240,0
"Andalucía",0,2020-03-09,8414240,0
"Andalucía",0,2020-03-11,8414240,0
"Andalucía",0,2020-03-06,8414240,0
"Andalucía",0,2020-03-05,8414240,0
"Andalucía",0,2020-03-12,8414240,0
"Andalucía",0,2020-03-04,8414240,0
"Andalucía",0,2020-03-10,8414240,0
"Aragón",7,2020-03-13,1319291,5.31
"Aragón",6,2020-03-12,1319291,4.55
"Aragón",0,2020-03-05,1319291,0
"Aragón",4,2020-03-11,1319291,3.03
"Aragón",0,2020-03-04,1319291,0
"Aragón",0,2020-03-03,1319291,0
"Aragón",3,2020-03-10,1319291,2.27
"Aragón",1,2020-03-09,1319291,0.76
"Aragón",1,2020-03-06,1319291,0.76
"Asturias",0,2020-03-11,1022800,0
"Asturias",1,2020-03-12,1022800,0.98
"Asturias",0,2020-03-03,1022800,0
"Asturias",0,2020-03-09,1022800,0
"Asturias",1,2020-03-13,1022800,0.98
"Asturias",0,2020-03-10,1022800,0
"Asturias",0,2020-03-06,1022800,0
"Asturias",0,2020-03-05,1022800,0
"Asturias",0,2020-03-04,1022800,0
"Baleares",0,2020-03-09,1149460,0
"Baleares",0,2020-03-10,1149460,0
"Baleares",1,2020-03-12,1149460,0.87
"Baleares",0,2020-03-05,1149460,0
"Baleares",0,2020-03-11,1149460,0
"Baleares",1,2020-03-13,1149460,0.87
"Baleares",0,2020-03-04,1149460,0
"Baleares",0,2020-03-03,1149460,0
"Baleares",0,2020-03-06,1149460,0
"C. Valenciana",1,2020-03-13,5003769,0.2
"C. Valenciana",1,2020-03-09,5003769,0.2
"C. Valenciana",1,2020-03-06,5003769,0.2
"C. Valenciana",1,2020-03-12,5003769,0.2
"C. Valenciana",1,2020-03-11,5003769,0.2
"C. Valenciana",1,2020-03-04,5003769,0.2
"C. Valenciana",1,2020-03-10,5003769,0.2
"C. Valenciana",1,2020-03-05,5003769,0.2
"C. Valenciana",0,2020-03-03,5003769,0
"Canarias",0,2020-03-12,2153389,0
"Canarias",0,2020-03-06,2153389,0
"Canarias",0,2020-03-10,2153389,0
"Canarias",0,2020-03-05,2153389,0
"Canarias",0,2020-03-09,2153389,0
"Canarias",0,2020-03-11,2153389,0
"Canarias",0,2020-03-13,2153389,0
"Canarias",0,2020-03-03,2153389,0
"Canarias",0,2020-03-04,2153389,0
"Cantabria",0,2020-03-10,581078,0
"Cantabria",0,2020-03-04,581078,0
"Cantabria",0,2020-03-06,581078,0
"Cantabria",0,2020-03-03,581078,0
"Cantabria",0,2020-03-12,581078,0
"Cantabria",0,2020-03-09,581078,0
"Cantabria",0,2020-03-11,581078,0
"Cantabria",0,2020-03-13,581078,0
"Cantabria",0,2020-03-05,581078,0
"Castilla y León",0,2020-03-06,2032863,0
"Castilla y León",0,2020-03-12,2032863,0
"Castilla y León",0,2020-03-05,2032863,0
"Castilla y León",1,2020-03-13,2032863,0.49
"Castilla y León",0,2020-03-11,2032863,0
"Castilla y León",0,2020-03-10,2032863,0
"Castilla y León",0,2020-03-04,2032863,0
"Castilla y León",0,2020-03-03,2032863,0
"Castilla y León",0,2020-03-09,2032863,0
"Castilla-La Mancha",0,2020-03-10,2399548,0
"Castilla-La Mancha",1,2020-03-12,2399548,0.42
"Castilla-La Mancha",0,2020-03-04,2399548,0
"Castilla-La Mancha",0,2020-03-06,2399548,0
"Castilla-La Mancha",0,2020-03-03,2399548,0
"Castilla-La Mancha",0,2020-03-05,2399548,0
"Castilla-La Mancha",0,2020-03-09,2399548,0
"Castilla-La Mancha",0,2020-03-11,2399548,0
"Castilla-La Mancha",5,2020-03-13,2399548,2.08
"Cataluña",4,2020-03-12,7675217,0.52
"Cataluña",4,2020-03-13,7675217,0.52
"Cataluña",3,2020-03-10,7675217,0.39
"Cataluña",3,2020-03-11,7675217,0.39
"Cataluña",0,2020-03-04,7675217,0
"Cataluña",0,2020-03-06,7675217,0
"Cataluña",0,2020-03-03,7675217,0
"Cataluña",0,2020-03-05,7675217,0
"Cataluña",1,2020-03-09,7675217,0.13
"Ceuta",0,2020-03-13,84777,0
"Ceuta",0,2020-03-10,84777,0
"Ceuta",0,2020-03-12,84777,0
"Ceuta",0,2020-03-11,84777,0
"Ceuta",0,2020-03-05,84777,0
"Ceuta",0,2020-03-06,84777,0
"Ceuta",0,2020-03-09,84777,0
"Ceuta",0,2020-03-04,84777,0
"Ceuta",0,2020-03-03,84777,0
"Extremadura",0,2020-03-09,1067710,0
"Extremadura",0,2020-03-11,1067710,0
"Extremadura",1,2020-03-13,1067710,0.94
"Extremadura",0,2020-03-05,1067710,0
"Extremadura",1,2020-03-12,1067710,0.94
"Extremadura",0,2020-03-04,1067710,0
"Extremadura",0,2020-03-06,1067710,0
"Extremadura",0,2020-03-10,1067710,0
"Extremadura",0,2020-03-03,1067710,0
"Galicia",0,2020-03-03,2699499,0
"Galicia",0,2020-03-05,2699499,0
"Galicia",0,2020-03-09,2699499,0
"Galicia",0,2020-03-13,2699499,0
"Galicia",0,2020-03-10,2699499,0
"Galicia",0,2020-03-12,2699499,0
"Galicia",0,2020-03-11,2699499,0
"Galicia",0,2020-03-06,2699499,0
"Galicia",0,2020-03-04,2699499,0
"La Rioja",1,2020-03-10,316798,3.16
"La Rioja",0,2020-03-04,316798,0
"La Rioja",0,2020-03-06,316798,0
"La Rioja",0,2020-03-03,316798,0
"La Rioja",2,2020-03-12,316798,6.31
"La Rioja",0,2020-03-09,316798,0
"La Rioja",2,2020-03-11,316798,6.31
"La Rioja",2,2020-03-13,316798,6.31
"La Rioja",0,2020-03-05,316798,0
"Madrid",81,2020-03-13,6663394,12.16
"Madrid",0,2020-03-03,6663394,0
"Madrid",8,2020-03-09,6663394,1.2
"Madrid",31,2020-03-11,6663394,4.65
"Madrid",2,2020-03-06,6663394,0.3
"Madrid",1,2020-03-05,6663394,0.15
"Madrid",56,2020-03-12,6663394,8.4
"Madrid",0,2020-03-04,6663394,0
"Madrid",21,2020-03-10,6663394,3.15
"Melilla",0,2020-03-13,86487,0
"Melilla",0,2020-03-12,86487,0
"Melilla",0,2020-03-05,86487,0
"Melilla",0,2020-03-11,86487,0
"Melilla",0,2020-03-04,86487,0
"Melilla",0,2020-03-03,86487,0
"Melilla",0,2020-03-10,86487,0
"Melilla",0,2020-03-09,86487,0
"Melilla",0,2020-03-06,86487,0
"Murcia",0,2020-03-11,1493898,0
"Murcia",0,2020-03-12,1493898,0
"Murcia",0,2020-03-03,1493898,0
"Murcia",0,2020-03-09,1493898,0
"Murcia",0,2020-03-13,1493898,0
"Murcia",0,2020-03-10,1493898,0
"Murcia",0,2020-03-06,1493898,0
"Murcia",0,2020-03-05,1493898,0
"Murcia",0,2020-03-04,1493898,0
"Navarra",0,2020-03-09,654214,0
"Navarra",0,2020-03-10,654214,0
"Navarra",0,2020-03-12,654214,0
"Navarra",0,2020-03-05,654214,0
"Navarra",0,2020-03-11,654214,0
"Navarra",0,2020-03-13,654214,0
"Navarra",0,2020-03-04,654214,0
"Navarra",0,2020-03-03,654214,0
"Navarra",0,2020-03-06,654214,0
"País Vasco",11,2020-03-12,2207776,4.98
"País Vasco",1,2020-03-06,2207776,0.45
"País Vasco",6,2020-03-10,2207776,2.72
"País Vasco",1,2020-03-05,2207776,0.45
"País Vasco",5,2020-03-09,2207776,2.26
"País Vasco",6,2020-03-11,2207776,2.72
"País Vasco",14,2020-03-13,2207776,6.34
"País Vasco",0,2020-03-03,2207776,0
"País Vasco",0,2020-03-04,2207776,0
"Total",1,2020-03-04,NA,NA
"Total",5,2020-03-06,NA,NA
"Total",35,2020-03-10,NA,NA
"Total",84,2020-03-12,NA,NA
"Total",16,2020-03-09,NA,NA
"Total",47,2020-03-11,NA,NA
"Total",0,2020-03-03,NA,NA
"Total",3,2020-03-05,NA,NA
"Total",120,2020-03-13,NA,NA
