id,Region,"Recensement 1990","Recensement 1999","1er janvier 2008","1er janvier 2020 (p)"
1,Auvergne.Rhône.Alpes,6668168,6949608,7459092,8032377
2,"Bourgogne.Franche.Comté",2705826,2728086,2802519,2783039
3,Bretagne,2794317,2904075,3149701,3340379
4,Centre.Val.de.Loire,2369808,2440295,2531588,2559073
5,Corse,249645,260152,302966,344679
6,Grand.Est,5274064,5387509,5521452,5511747
7,Hauts.de.France,5770671,5855448,5931091,5962662
8,Ile.de.France,10644665,10946012,11659260,12278210
9,Normandie,3126859,3202449,3293092,3303500
10,Nouvelle.Aquitaine,5114287,5257954,5671076,5999982
11,Occitanie,4546249,4842680,5419946,5924858
12,Pays.de.la.Loire,3055197,3219960,3510170,3801797
13,Provence.Alpes.Côte.d.Azur,4257244,4502385,4882913,5055651
0,"France métropolitaine",56577000,58496613,62134866,64897954
