FECHA,CONFIRMADOS PCR
23/07/2020,2454
19/07/2020,2446
16/07/2020,2442
15/07/2020,2442
14/07/2020,2442
08/07/2020,2436
07/07/2020,2436
05/07/2020,2435
04/07/2020,2435
02/07/2020,2435
01/07/2020,2435
30/06/2020,2435
25/06/2020,2435
23/06/2020,2435
22/06/2020,2435
21/06/2020,2435
18/06/2020,2435
13/06/2020,2437
11/06/2020,2435
09/06/2020,2431
08/06/2020,2431
07/06/2020,2429
06/06/2020,2427
04/06/2020,2424
10/04/2020,1827
09/04/2020,1799
13/07/2020,2442
08/04/2020,1737
20/07/2020,2448
11/04/2020,1892
07/04/2020,1705
05/04/2020,1646
04/04/2020,1605
19/04/2020,2181
29/05/2020,2421
31/03/2020,1322
22/07/2020,2452
13/04/2020,2010
01/04/2020,1384
29/03/2020,1158
03/04/2020,1522
20/03/2020,486
27/03/2020,1004
26/07/2020,2467
29/06/2020,2435
25/03/2020,841
24/03/2020,779
15/06/2020,2436
11/03/2020,36
14/03/2020,107
06/03/2020,6
27/05/2020,2400
06/07/2020,2436
10/06/2020,2431
28/03/2020,1088
02/03/2020,1
04/03/2020,3
05/06/2020,2426
01/03/2020,1
24/06/2020,2435
18/05/2020,2373
28/06/2020,2435
01/06/2020,2425
03/03/2020,2
22/03/2020,594
12/06/2020,2437
08/03/2020,9
15/03/2020,149
14/04/2020,2049
02/04/2020,1433
28/04/2020,2266
16/03/2020,193
09/07/2020,2437
09/03/2020,11
25/05/2020,2399
13/03/2020,73
17/03/2020,242
27/06/2020,2435
19/03/2020,344
05/03/2020,4
12/04/2020,1937
26/04/2020,2254
22/05/2020,2377
29/02/2020,1
23/03/2020,662
07/03/2020,7
28/05/2020,2403
02/05/2020,2305
14/06/2020,2437
06/04/2020,1679
20/04/2020,2192
12/07/2020,2437
16/06/2020,2436
12/03/2020,40
18/03/2020,292
10/05/2020,2346
30/03/2020,1236
26/03/2020,900
25/04/2020,2249
29/04/2020,2283
17/04/2020,2153
21/07/2020,2450
21/03/2020,545
16/04/2020,2124
01/05/2020,2303
18/04/2020,2172
19/06/2020,2435
17/05/2020,2369
21/04/2020,2218
05/05/2020,2310
22/04/2020,2229
23/04/2020,2234
24/04/2020,2238
08/05/2020,2342
24/05/2020,2399
27/04/2020,2255
03/05/2020,2306
04/05/2020,2308
06/05/2020,2326
07/05/2020,2336
09/05/2020,2343
15/04/2020,2081
11/05/2020,2351
12/05/2020,2356
30/04/2020,2298
15/05/2020,2366
10/03/2020,32
31/05/2020,2425
16/05/2020,2366
19/05/2020,2374
02/06/2020,2425
20/05/2020,2374
17/06/2020,2435
21/05/2020,2376
14/05/2020,2359
23/05/2020,2397
26/05/2020,2400
30/05/2020,2424
13/05/2020,2356
03/06/2020,2425
