FECHA,Casos confirmados por PCR,Personas hospitalizadas actualmente en planta,Personas hospitalizadas actualmente en UCI,MUESTRAS TOTALES,MUESTRAS PCR,MUESTRAS ANTICUERPOS
10/09/2020,3827,38,8,362712,250508,112204
09/09/2020,3780,35,9,359486,247389,112097
08/09/2020,3758,35,8,357760,245781,111979
07/09/2020,3693,33,7,355276,243382,111894
06/09/2020,3677,36,7,353610,241828,111782
03/09/2020,3477,28,5,345818,234362,111456
02/09/2020,3433,27,4,342811,231495,111316
01/09/2020,3384,22,5,340116,228937,111179
31/08/2020,3354,23,4,337371,226333,111038
30/08/2020,3321,13,4,335313,224393,110920
27/08/2020,3219,13,2,329847,219287,110560
26/08/2020,3184,9,2,327529,217170,110422
25/08/2020,3148,10,2,325103,214821,110282
24/08/2020,3100,9,2,322738,212853,110153
23/08/2020,3048,8,3,320681,210705,109976
20/08/2020,2973,6,2,315674,206053,109621
19/08/2020,2933,7,2,313031,203885,109414
18/08/2020,2910,8,2,310458,201564,109162
17/08/2020,2897,8,2,307686,198975,108893
16/08/2020,2874,9,2,305486,196820,108666
13/08/2020,2798,5,2,300423,192166,108257
12/08/2020,2774,5,3,298200,190121,108079
11/08/2020,2741,3,3,296145,188212,107933
10/08/2020,2718,3,3,293772,186150,107572
09/08/2020,2707,2,4,391785,184518,107267
07/08/2020,2651,1,4,285009,178415,106594
06/08/2020,2620,0,4,282543,176314,106229
05/08/2020,2588,0,4,279704,174072,105632
04/08/2020,2564,0,4,276689,171836,104853
03/08/2020,2555,0,4,273747,169583,104164
30/07/2020,2529,3,3,267432,164009,103423
29/07/2020,2503,3,3,264824,161886,102938
28/07/2020,2484,4,2,262001,159750,102251
27/07/2020,2470,3,3,258812,157124,101688
26/07/2020,2467,3,3,257352,156379,100973
23/07/2020,2454,3,3,253231,153120,100111
22/07/2020,2452,3,3,251480,151863,99617
21/07/2020,2450,2,3,249199,150301,98898
20/07/2020,2448,2,3,247333,149076,98257
19/07/2020,2446,1,3,245328,148012,97541
16/07/2020,2442,1,3,242180,145570,96610
15/07/2020,2442,1,3,240487,144388,96099
14/07/2020,2442,1,3,238832,143207,95625
13/07/2020,2442,1,3,236960,142075,95110
12/07/2020,2437,1,3,235634,141070,94564
09/07/2020,2437,1,3,232383,138660,93723
08/07/2020,2436,1,3,230477,137319,93158
07/07/2020,2436,1,3,228619,135940,92679
06/07/2020,2436,1,3,226833,134664,92169
05/07/2020,2435,0,4,225215,133744,91471
04/07/2020,2435,0,4,224416,133051,91365
02/07/2020,2435,1,4,221780,131276,90504
01/07/2020,2435,1,4,220258,130165,90093
30/06/2020,2435,1,4,218516,128877,89639
29/06/2020,2435,1,5,216470,127439,89031
28/06/2020,2435,1,5,214964,126677,88287
27/06/2020,2435,1,5,213749,125889,87860
25/06/2020,2435,1,6,210439,123803,86636
24/06/2020,2435,3,6,208395,122594,85801
23/06/2020,2435,4,7,206466,121555,84911
22/06/2020,2435,4,8,204386,120317,84069
21/06/2020,2435,5,8,203409,119765,83644
19/06/2020,2435,3,9,199981,117766,82125
18/06/2020,2435,5,9,198078,116752,81326
17/06/2020,2435,8,7,195837,115746,80091
16/06/2020,2436,5,11,193246,114225,79021
15/06/2020,2436,9,12,190888,113249,77639
14/06/2020,2437,7,12,188848,112182,76666
13/06/2020,2437,7,11,187434,111352,76082
12/06/2020,2437,7,10,184302,110821,75531
11/06/2020,2435,7,10,184184,109400,74784
10/06/2020,2431,11,9,182244,108622,73622
09/06/2020,2431,13,9,179685,107400,72285
08/06/2020,2431,13,9,177342,106210,71132
07/06/2020,2429,12,9,175288,105011,70277
06/06/2020,2427,12,9,174040,104303,69737
05/06/2020,2426,12,9,172634,103480,69154
04/06/2020,2424,26,9,170261,101938,68323
03/06/2020,2425,26,9,166840,99513,67327
02/06/2020,2425,29,9,164892,98742,66150
01/06/2020,2425,28,9,162245,97174,65071
31/05/2020,2425,30,9,159839,96133,63706
30/05/2020,2424,31,9,158644,95359,63285
29/05/2020,2421,27,10,156726,93979,62747
28/05/2020,2403,29,10,153916,92498,61418
27/05/2020,2400,32,10,150347,90738,59609
26/05/2020,2400,34,13,147192,89481,57711
25/05/2020,2399,38,13,144159,88084,56075
24/05/2020,2399,42,13,140908,86370,54538
23/05/2020,2397,40,13,138838,84995,53843
22/05/2020,2377,40,13,136569,83563,53006
21/05/2020,2376,50,13,133425,82008,51417
20/05/2020,2374,50,15,0,0,0
19/05/2020,2374,52,16,129477,80810,48667
18/05/2020,2373,64,19,125604,78697,46907
17/05/2020,2369,60,23,121020,76667,44353
16/05/2020,2366,59,23,118080,75388,42692
15/05/2020,2366,63,22,116711,74022,42689
14/05/2020,2359,61,23,110144,71464,38680
13/05/2020,2356,73,24,102706,65803,36903
12/05/2020,2356,80,25,102706,65803,36903
11/05/2020,2351,87,26,98710,64139,34571
10/05/2020,2346,87,29,94478,61396,33082
09/05/2020,2343,85,30,92578,60201,32377
08/05/2020,2342,96,31,90257,58670,31587
07/05/2020,2336,124,30,86070,56846,29224
06/05/2020,2326,133,30,81431,55007,26424
05/05/2020,2310,141,29,78139,52904,25235
04/05/2020,2308,153,33,74830,51036,23794
03/05/2020,2306,161,35,70640,50307,20333
02/05/2020,2305,166,35,69213,49456,19757
01/05/2020,2303,166,37,67213,48405,18808
30/04/2020,2298,191,36,63302,45225,18077
29/04/2020,2283,213,34,59472,43684,15788
28/04/2020,2266,231,38,56510,42027,14483
27/04/2020,2255,246,43,53548,40370,13178
26/04/2020,2254,251,45,50143,38064,12079
25/04/2020,2249,258,46,48902,37331,11571
24/04/2020,2238,269,48,46949,36181,10768
23/04/2020,2234,290,50,43927,34425,9502
22/04/2020,2229,315,53,41696,33296,8400
21/04/2020,2218,334,56,39164,31851,7313
20/04/2020,2192,353,53,37012,31061,5951
19/04/2020,2181,358,56,34525,29261,5264
18/04/2020,2172,360,56,33111,28446,4665
17/04/2020,2153,349,58,30752,26880,3872
16/04/2020,2124,367,61,28595,25624,2971
15/04/2020,2081,367,61,27095,24855,2240
14/04/2020,2049,371,60,25538,23967,1571
13/04/2020,2010,383,63,24356,23003,1353
12/04/2020,1937,371,61,23046,22331,715
11/04/2020,1892,341,61,22007,22007,0
10/04/2020,1827,330,62,21231,21231,0
09/04/2020,1799,346,65,20409,20409,0
08/04/2020,1737,350,65,19096,19096,0
07/04/2020,1705,354,70,18110,18110,0
06/04/2020,1679,377,74,17243,17243,0
05/04/2020,1646,364,76,16631,16631,0
04/04/2020,1605,356,83,15831,15831,0
03/04/2020,1522,347,81,14530,14530,0
02/04/2020,1433,329,82,13385,13385,0
01/04/2020,1384,309,76,12519,12519,0
31/03/2020,1322,318,72,11265,11265,0
30/03/2020,1236,306,61,10476,10476,0
29/03/2020,1158,281,57,9779,9779,0
28/03/2020,1088,249,57,9300,9300,0
27/03/2020,1004,214,51,8550,8550,0
26/03/2020,900,192,48,8000,8000,0
25/03/2020,841,200,34,6900,6900,0
24/03/2020,779,166,29,6200,6200,0
23/03/2020,662,158,23,0,0,0
22/03/2020,594,156,20,0,0,0
21/03/2020,545,128,15,0,0,0
20/03/2020,486,99,12,0,0,0
19/03/2020,344,69,6,0,0,0
18/03/2020,292,48,5,0,0,0
17/03/2020,242,38,4,0,0,0
16/03/2020,193,29,4,0,0,0
15/03/2020,149,21,2,0,0,0
14/03/2020,107,18,1,0,0,0
13/03/2020,73,14,1,0,0,0
12/03/2020,40,10,1,0,0,0
11/03/2020,36,10,2,0,0,0
10/03/2020,32,9,2,0,0,0
09/03/2020,11,9,2,0,0,0
08/03/2020,9,5,1,0,0,0
07/03/2020,7,5,1,0,0,0
06/03/2020,6,5,1,0,0,0
05/03/2020,4,2,1,0,0,0
04/03/2020,3,1,1,0,0,0
03/03/2020,2,1,1,0,0,0
02/03/2020,1,0,1,0,0,0
01/03/2020,1,0,1,0,0,0
29/02/2020,1,0,1,0,0,0
