"date","province","positivo","fallecidos","weekly_cases","weekly_deaths"
2020-07-13,"Otros",191,1,NA,NA
2020-07-13,"Araba/Álava",5527,373,NA,NA
2020-07-13,"Bizkaia",3594,308,NA,NA
2020-07-13,"Gipuzkoa",12315,939,NA,NA
2020-07-20,"Otros",195,1,4,0
2020-07-20,"Araba/Álava",5592,374,65,1
2020-07-20,"Bizkaia",3954,308,360,0
2020-07-20,"Gipuzkoa",12646,941,331,2
2020-07-27,"Otros",203,1,8,0
2020-07-27,"Araba/Álava",5667,374,75,0
2020-07-27,"Bizkaia",4215,309,261,1
2020-07-27,"Gipuzkoa",13209,942,563,1
2020-08-03,"Otros",225,1,22,0
2020-08-03,"Araba/Álava",5850,375,183,1
2020-08-03,"Bizkaia",4484,309,269,0
2020-08-03,"Gipuzkoa",14021,944,812,2
2020-08-10,"Otros",240,1,15,0
2020-08-10,"Araba/Álava",6171,377,321,2
2020-08-10,"Bizkaia",4848,310,364,1
2020-08-10,"Gipuzkoa",15575,949,1554,5
2020-08-17,"Otros",270,1,30,0
2020-08-17,"Araba/Álava",6796,377,625,0
2020-08-17,"Bizkaia",5361,311,513,1
2020-08-17,"Gipuzkoa",17618,958,2043,9
2020-08-24,"Otros",305,NA,35,NA
2020-08-24,"Araba/Álava",7503,381,707,4
2020-08-24,"Bizkaia",6121,315,760,4
2020-08-24,"Gipuzkoa",19929,974,2311,16
2020-08-31,"Otros",345,NA,40,NA
2020-08-31,"Araba/Álava",8166,391,663,10
2020-08-31,"Bizkaia",7490,322,1369,7
2020-08-31,"Gipuzkoa",22418,997,2489,23
2020-09-07,"Otros",375,NA,30,NA
2020-09-07,"Araba/Álava",8773,396,607,5
2020-09-07,"Bizkaia",8765,328,1275,6
2020-09-07,"Gipuzkoa",24605,1032,2187,35
2020-09-14,"Otros",393,NA,18,NA
2020-09-14,"Araba/Álava",9300,406,527,10
2020-09-14,"Bizkaia",9982,340,1217,12
2020-09-14,"Gipuzkoa",26513,1066,1908,34
